plot_num,plot_type,replicate,sp_code,num_seeds_produced
745,L,1,EUPE,24
745,L,2,EUPE,9
745,L,3,EUPE,9
745,L,4,EUPE,NA
745,L,5,EUPE,NA
746,L,1,EUPE,48
746,L,2,EUPE,330
746,L,3,EUPE,240
746,L,4,EUPE,402
746,L,5,EUPE,NA
747,L,1,EUPE,108
747,L,2,EUPE,78
747,L,3,EUPE,102
747,L,4,EUPE,27
747,L,5,EUPE,48
748,L,1,EUPE,NA
748,L,2,EUPE,NA
748,L,3,EUPE,NA
748,L,4,EUPE,NA
748,L,5,EUPE,NA
749,L,1,EUPE,294
749,L,2,EUPE,315
749,L,3,EUPE,387
749,L,4,EUPE,486
749,L,5,EUPE,381
749,L,6,EUPE,441
749,L,7,EUPE,396
750,L,1,EUPE,87
750,L,2,EUPE,54
750,L,3,EUPE,213
750,L,4,EUPE,72
750,L,5,EUPE,111
751,L,1,EUPE,24
751,L,2,EUPE,30
751,L,3,EUPE,93
751,L,4,EUPE,36
751,L,5,EUPE,27
752,L,1,EUPE,6
752,L,2,EUPE,39
752,L,3,EUPE,102
752,L,4,EUPE,6
752,L,5,EUPE,18
753,L,1,EUPE,816
753,L,2,EUPE,390
753,L,3,EUPE,2754
753,L,4,EUPE,213
753,L,5,EUPE,684
753,L,6,EUPE,696
754,L,1,EUPE,1812
754,L,2,EUPE,1722
754,L,3,EUPE,588
754,L,4,EUPE,1518
754,L,5,EUPE,6084
755,L,1,EUPE,138
755,L,2,EUPE,12
755,L,3,EUPE,9
755,L,4,EUPE,75
755,L,5,EUPE,54
755,L,6,EUPE,24
740,L,1,HECO,1712
740,L,2,HECO,944
740,L,3,HECO,4656
740,L,4,HECO,2336
740,L,5,HECO,2320
741,L,1,HECO,1392
741,L,2,HECO,2336
741,L,3,HECO,744
741,L,4,HECO,2600
741,L,5,HECO,2080
742,L,1,HECO,208
742,L,2,HECO,120
742,L,3,HECO,432
742,L,4,HECO,1096
742,L,5,HECO,1744
743,L,1,HECO,424
743,L,2,HECO,224
743,L,3,HECO,48
743,L,4,HECO,88
743,L,5,HECO,184
743,L,6,HECO,480
744,L,1,HECO,1552
744,L,2,HECO,1192
744,L,3,HECO,520
744,L,4,HECO,624
