plot_num,rep,sp_code,num_germinants,expected_germinants_l,num_germinants_corrected
749,2,PLER,14,60,14
749,2,CLPU,1,60,1
749,2,HOMU,16,60,16
749,2,EUPE,14,60,14
749,2,MICA,2,50,2
749,2,AMME,28,60,28
749,2,CHGL,22,90,22
749,2,CLBO,4,60,4
749,2,MEPO,10,40,10
749,2,AGHE,41,60,41
749,2,BRMA,29,60,29
749,3,HECO,4,60,4
749,3,VUMI,62,60,60
749,3,CEME,16,60,16
749,3,LOWR,1,60,1
749,3,LACA,5,100,5
749,3,SACO,24,60,24
749,3,PLER,24,60,24
749,3,CLPU,10,60,10
749,3,HOMU,38,60,38
749,3,EUPE,42,60,42
749,3,MICA,0,50,0
749,3,AMME,29,60,29
749,3,CHGL,28,90,28
749,3,CLBO,0,60,0
749,3,MEPO,7,40,7
749,3,AGHE,44,60,44
749,3,BRMA,27,60,27
749,4,HECO,2,60,2
749,4,VUMI,50,60,50
749,4,CEME,39,60,39
749,4,LOWR,11,60,11
749,4,LACA,4,100,4
749,4,SACO,43,60,43
749,4,PLER,23,60,23
749,4,CLPU,8,60,8
749,4,HOMU,30,60,30
749,4,EUPE,35,60,35
749,4,MICA,3,50,3
749,4,AMME,17,60,17
749,4,CHGL,60,90,60
749,4,CLBO,1,60,1
749,4,MEPO,5,40,5
749,4,AGHE,31,60,31
749,4,BRMA,41,60,41
749,5,HECO,1,60,1
749,5,VUMI,64,60,60
749,5,CEME,32,60,32
749,5,LOWR,8,60,8
749,5,LACA,4,100,4
749,5,SACO,37,60,37
749,5,PLER,3,60,3
749,5,CLPU,19,60,19
749,5,HOMU,32,60,32
749,5,EUPE,8,60,8
749,5,MICA,0,50,0
749,5,AMME,28,60,28
749,5,CHGL,64,90,64
749,5,CLBO,0,60,0
749,5,MEPO,14,40,14
749,5,AGHE,36,60,36
749,5,BRMA,22,60,22
750,1,HECO,4,60,4
750,1,VUMI,6,60,6
750,1,CEME,2,60,2
750,1,LOWR,0,60,0
750,1,LACA,15,100,15
750,1,SACO,12,60,12
750,1,PLER,28,60,28
750,1,CLPU,0,60,0
750,1,HOMU,25,60,25
750,1,EUPE,9,60,9
750,1,MICA,0,50,0
750,1,AMME,0,60,0
750,1,CHGL,89,90,89
750,1,CLBO,0,60,0
750,1,MEPO,22,40,22
750,1,AGHE,16,60,16
